fm_name,fm_id
WP Global Partners,2011
WP Global Partners,2011
JP Morgan Asset Management,5687
Commonfund Capital,914
Longley Capital,20714
Nautic Partners,6608
Nautic Partners,6608
Nautic Partners,6608
The Blue Venture Fund,11425
Think+ Ventures,15740
Think+ Ventures,15740
Think+ Ventures,15740
RiverRock Funds,14014
Adams Street Partners,6359
Cold Bore Capital,20735
Cold Bore Capital,20735
Cold Bore Capital,20735
Statera Capital,20736
Gryphon Investors,6517
Gryphon Investors,6517
STORY3 Capital Partners,20749
Collaborative Fund,13758
IA Capital Group,8985
CoVenture,17763
GoldenTree Asset Management,17570
GoldenTree Asset Management,17570
GoldenTree Asset Management,17570
GoldenTree Asset Management,17570
GoldenTree Asset Management,17570
GoldenTree Asset Management,17570
TSG Consumer Partners,8174
HarbourVest Partners,6523
Fin Venture Capital,19866
Oaktree Capital Management,5588
Emergent Ventures,19909
Morgan Stanley Alternative Investment Partners,8032
Summit Peak Investments,20759
McGinty Road Partners,19418
Next Frontier Capital,16760
Next Frontier Capital,16760
Next Frontier Capital,16760
Next Frontier Capital,16760
Tomales Bay Capital,20765
Tomales Bay Capital,20765
Tomales Bay Capital,20765
Tomales Bay Capital,20765
Tomales Bay Capital,20765
Tomales Bay Capital,20765
GoldPoint Partners,1762
Hildred Capital Partners,20141
Savano Capital Partners,17668
Village Global,18732
Acorn Growth Companies,17837
Acorn Growth Companies,17837
Accolade Partners,2790
Accolade Partners,2790
Navigate Ventures,20770
Cross Creek,8314
Cross Creek,8314
Cross Creek,8314
Franklin Park,1722
Blue Scorpion Investments,18757
Adams Street Partners,6359
FundersClub,13444
Courage Capital Management,12424
Courage Capital Management,12424
Courage Capital Management,12424
Courage Capital Management,12424
Courage Capital Management,12424
Courage Capital Management,12424
Courage Capital Management,12424
Courage Capital Management,12424
Courage Capital Management,12424
Courage Capital Management,12424
Courage Capital Management,12424
Courage Capital Management,12424
Pantheon,1005
Aviv Growth Partners,20784
Aviv Growth Partners,20784
Aviv Growth Partners,20784
Aviv Growth Partners,20784
SaaStr,17685
Nyca Partners,15416
Nyca Partners,15416
Orthogon Partners,18563
Orthogon Partners,18563
Orthogon Partners,18563
Riverstone Holdings,8459
Riverstone Holdings,8459
H.I.G. WhiteHorse,17042
Silverfern Group,20792
Silverfern Group,20792
AllegisCyber Capital,6884
ETA Equity Management,20804
Homrich Berg,3479
Northstar Capital,6621
Northstar Capital,6621
Northstar Capital,6621
Northstar Capital,6621
Northstar Capital,6621
Pomona Capital,6644
Pomona Capital,6644
Pomona Capital,6644
Pomona Capital,6644
Pomona Capital,6644
Willow Growth Partners,20807
Willow Growth Partners,20807
Sixth Street,19637
Angelo Gordon,5225
Teng Yue Partners,20797
Mucker Capital,13480
Creacion Ventures,20812
Creacion Ventures,20812
Creacion Ventures,20812
Creacion Ventures,20812
Creacion Ventures,20812
Creacion Ventures,20812
Creacion Ventures,20812
Creacion Ventures,20812
Anthemis,17109
Anthemis,17109
Anthemis,17109
Anthemis,17109
Anthemis,17109
Anthemis,17109
H. Barton Asset Management,16152
Apollo Global Management,8096
ACE & Company - DELETE,20819
ACE & Company - DELETE,20819
ACE & Company - DELETE,20819
ACE & Company - DELETE,20819
ACE & Company - DELETE,20819
ACE & Company - DELETE,20819
ACE & Company - DELETE,20819
ACE & Company - DELETE,20819
ACE & Company - DELETE,20819
ACE & Company - DELETE,20819
ACE & Company - DELETE,20819
ACE & Company - DELETE,20819
GCM Grosvenor,2827
Housatonic Partners,9033
Harmonic Growth Partners,20822
Greenridge Growth Partners,20832
TowerBrook Capital Partners,7847
TowerBrook Capital Partners,7847
True Wind Capital,17284
Private Debt Partners,20838
Bow River Capital,2138
Bow River Capital,2138
Bow River Capital,2138
Bow River Capital,2138
Bow River Capital,2138
Bow River Capital,2138
Bow River Capital,2138
Bow River Capital,2138
Blue Heron Capital,15020
Blue Heron Capital,15020
Blue Heron Capital,15020
AXA Venture Partners,19429
AXA Venture Partners,19429
AXA Venture Partners,19429
AXA Venture Partners,19429
AXA Venture Partners,19429
AXA Venture Partners,19429
AXA Venture Partners,19429
AXA Venture Partners,19429
AXA Venture Partners,19429
AXA Venture Partners,19429
AXA Venture Partners,19429
AXA Venture Partners,19429
AXA Venture Partners,19429
AXA Venture Partners,19429
AXA Venture Partners,19429
AXA Venture Partners,19429
AXA Venture Partners,19429
AXA Venture Partners,19429
AXA Venture Partners,19429
AXA Venture Partners,19429
AXA Venture Partners,19429
AXA Venture Partners,19429
AXA Venture Partners,19429
AXA Venture Partners,19429
Audax Group,6386
Audax Group,6386
Farol Asset Management,13675
Farol Asset Management,13675
9Yards Capital,20845
FinTech Collective,18127
FinTech Collective,18127
CoVenture,17763
Ono Venture Investment,20855
Lightspring Capital Partners,20856
Lightspring Capital Partners,20856
Lightspring Capital Partners,20856
Lightspring Capital Partners,20856
Merced Capital,14134
New Frontier Capital Management,20858
New Frontier Capital Management,20858
New Frontier Capital Management,20858
New Frontier Capital Management,20858
New Frontier Capital Management,20858
New Frontier Capital Management,20858
New Frontier Capital Management,20858
New Frontier Capital Management,20858
New Frontier Capital Management,20858
New Frontier Capital Management,20858
G20 Ventures,14372
iCapital Network,20104
iCapital Network,20104
O'Brien-Staley Partners,16184
O'Brien-Staley Partners,16184
Convergent Capital,15821
Convergent Capital,15821
SCS Financial Services,9785
SCS Financial Services,9785
SCS Financial Services,9785
Gemspring Capital,17861
Atlas Peak Capital,16065
Atlas Peak Capital,16065
Artesian,14447
Artesian,14447
Artesian,14447
Artesian,14447
Artesian,14447
Artesian,14447
Artesian,14447
Artesian,14447
Artesian,14447
Artesian,14447
Artesian,14447
Artesian,14447
SSM Partners,13375
Fundamental Advisors,12980
Fundamental Advisors,12980
KSL Capital Partners,7906
AE Industrial Partners,16704
AE Industrial Partners,16704
AE Industrial Partners,16704
AE Industrial Partners,16704
AE Industrial Partners,16704
